Move Number,Move Name,Move Type,Move Category,Base Power,Accuracy,PP,Target,Priority,Flag: protect,Flag: mirror,Flag: heal,Flag: metronome,Flag: contact,Flag: snatch,Flag: bullet,Flag: distance,Flag: slicing,Flag: wind,Flag: bypasssub,Flag: allyanim,Flag: sound,Flag: dance,Flag: failencore,Flag: nosleeptalk,Flag: noassist,Flag: failcopycat,Flag: failmimic,Flag: failinstruct,Flag: reflectable,Flag: pulse,Flag: failmefirst,Flag: bite,Flag: recharge,Flag: nosketch,Flag: cantusetwice,Flag: nonsky,Flag: charge,Flag: gravity,Flag: punch,Flag: defrost,Flag: powder,Flag: futuremove,Flag: noparentalbond,Flag: pledgecombo,Flag: mustpressure,Secondary: chance,Secondary: boosts,Secondary: volatileStatus,Secondary: onHit,Secondary: self,Secondary: status,Boost: spdef,Boost: atk,Boost: speed,Boost: def,Boost: accuracy,Boost: spatk
177,aeroblast,Flying,Special,100,95,5,any,0,1,1,,1,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,afteryou,Normal,Status,0,true,15,normal,0,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,agility,Psychic,Status,0,true,30,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,aircutter,Flying,Special,60,95,25,allAdjacentFoes,0,1,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,airslash,Flying,Special,75,95,15,any,0,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,flinch,,,,,,,,,
624,alloutpummeling,Fighting,Physical,1,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,alluringvoice,Fairy,Special,80,100,10,normal,0,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,100,,,"onHit(target, source, move) {
				if (target?.statsRaisedThisTurn) {
					target.addVolatile('confusion', source, move);
				}
			}",,,,,,,,
502,allyswitch,Psychic,Status,0,true,15,self,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,amnesia,Psychic,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
677,anchorshot,Steel,Physical,80,100,20,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,"onHit(target, source, move) {
				if (source.isActive) target.addVolatile('trapped', source, move, 'trapper');
			}",,,,,,,,
246,ancientpower,Rock,Special,60,100,5,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,[object Object],,,,,,,
787,appleacid,Grass,Special,80,100,10,normal,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,[object Object],,,,,-1,,,,,
895,aquacutter,Water,Physical,70,100,20,normal,0,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,aquajet,Water,Physical,40,100,20,normal,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,aquaring,Water,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
872,aquastep,Water,Physical,80,100,10,normal,0,1,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,100,,,,[object Object],,,,,,,
401,aquatail,Water,Physical,90,90,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,armorcannon,Fire,Special,120,100,5,normal,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,armthrust,Fighting,Physical,15,100,20,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,aromatherapy,Grass,Status,0,true,5,allyTeam,0,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,aromaticmist,Fairy,Status,0,true,20,adjacentAlly,0,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,assist,Normal,Status,0,true,20,self,0,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,assurance,Dark,Physical,60,100,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,astonish,Ghost,Physical,30,100,15,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,flinch,,,,,,,,,
825,astralbarrage,Ghost,Special,120,100,5,allAdjacentFoes,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,attackorder,Bug,Physical,90,100,15,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,attract,Normal,Status,0,100,15,normal,0,1,1,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,aurasphere,Fighting,Special,80,true,20,any,0,1,1,,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,aurawheel,Electric,Physical,110,100,10,normal,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,[object Object],,,,,,,
62,aurorabeam,Ice,Special,65,100,20,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,[object Object],,,,,,-1,,,,
694,auroraveil,Ice,Status,0,true,20,allySide,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,autotomize,Steel,Status,0,true,15,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,avalanche,Ice,Physical,60,100,10,normal,-4,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,axekick,Fighting,Physical,120,90,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,confusion,,,,,,,,,
608,babydolleyes,Fairy,Status,0,100,30,normal,1,1,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,baddybad,Dark,Special,80,95,15,normal,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
661,banefulbunker,Poison,Status,0,true,10,self,4,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,barbbarrage,Poison,Physical,60,100,10,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,psn,,,,,,
140,barrage,Normal,Physical,15,85,20,normal,0,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,barrier,Psychic,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,batonpass,Normal,Status,0,true,40,self,0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
690,beakblast,Flying,Physical,100,100,15,normal,-3,1,,,,,,1,,,,,,,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
251,beatup,Dark,Physical,0,100,10,normal,0,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,behemothbash,Steel,Physical,100,100,5,normal,0,1,1,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,behemothblade,Steel,Physical,100,100,5,normal,0,1,1,,,1,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,belch,Poison,Special,120,90,10,normal,0,1,,,,,,,,,,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
187,bellydrum,Normal,Status,0,true,10,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
516,bestow,Normal,Status,0,true,15,normal,0,,1,,,,,,,,,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,bide,Normal,Physical,0,true,10,self,1,1,,,1,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,bind,Normal,Physical,15,85,20,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,bite,Dark,Physical,60,100,25,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,30,,flinch,,,,,,,,,
891,bitterblade,Fire,Physical,90,100,10,normal,0,1,1,1,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,bittermalice,Ghost,Special,75,100,10,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,[object Object],,,,,,-1,,,,
654,blackholeeclipse,Dark,Physical,1,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,blastburn,Fire,Special,150,90,5,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
299,blazekick,Fire,Physical,85,90,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,brn,,,,,,
896,blazingtorque,Fire,Physical,80,100,10,normal,0,1,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,30,,,,,brn,,,,,,
846,bleakwindstorm,Flying,Special,100,80,10,allAdjacentFoes,0,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,[object Object],,,,,,,-1,,,
59,blizzard,Ice,Special,110,70,5,allAdjacentFoes,0,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,frz,,,,,,
335,block,Normal,Status,0,true,5,normal,0,,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,bloodmoon,Normal,Special,140,100,5,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
644,bloomdoom,Grass,Physical,1,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,blueflare,Fire,Special,130,85,5,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,brn,,,,,,
776,bodypress,Fighting,Physical,80,100,10,normal,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,bodyslam,Normal,Physical,85,100,15,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,30,,,,,par,,,,,,
754,boltbeak,Electric,Physical,85,100,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,boltstrike,Electric,Physical,130,85,5,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,par,,,,,,
125,boneclub,Ground,Physical,65,85,20,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,flinch,,,,,,,,,
155,bonemerang,Ground,Physical,50,90,10,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,bonerush,Ground,Physical,25,90,10,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,boomburst,Normal,Special,140,100,10,allAdjacent,0,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,bounce,Flying,Physical,85,85,5,any,0,1,1,,1,1,,,1,,,,,,,,1,1,,,1,,,,,,,,,1,1,,,,,,,,30,,,,,par,,,,,,
733,bouncybubble,Water,Special,60,100,20,normal,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,branchpoke,Grass,Physical,40,100,40,normal,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,bravebird,Flying,Physical,120,100,15,any,0,1,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,breakingswipe,Dragon,Physical,60,100,15,allAdjacentFoes,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,[object Object],,,,,,-1,,,,
622,breakneckblitz,Normal,Physical,1,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,brickbreak,Fighting,Physical,75,100,15,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,brine,Water,Special,65,100,10,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,brutalswing,Dark,Physical,60,100,20,allAdjacent,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,bubble,Water,Special,40,100,30,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,[object Object],,,,,,,-1,,,
61,bubblebeam,Water,Special,65,100,20,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,[object Object],,,,,,,-1,,,
450,bugbite,Bug,Physical,60,100,20,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,bugbuzz,Bug,Special,90,100,10,normal,0,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,10,[object Object],,,,,-1,,,,,
339,bulkup,Fighting,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,bulldoze,Ground,Physical,60,100,20,allAdjacent,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,100,[object Object],,,,,,,-1,,,
418,bulletpunch,Steel,Physical,40,100,30,normal,1,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
331,bulletseed,Grass,Physical,25,100,30,normal,0,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,burningbulwark,Fire,Status,0,true,10,self,4,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,burningjealousy,Fire,Special,70,100,5,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,"onHit(target, source, move) {
				if (target?.statsRaisedThisTurn) {
					target.trySetStatus('brn', source, move);
				}
			}",,,,,,,,
682,burnup,Fire,Special,130,100,5,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
734,buzzybuzz,Electric,Special,60,100,20,normal,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,par,,,,,,
347,calmmind,Psychic,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,camouflage,Normal,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,captivate,Normal,Status,0,100,20,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,catastropika,Electric,Physical,210,true,1,normal,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,ceaselessedge,Dark,Physical,65,90,15,normal,0,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,celebrate,Normal,Status,0,true,40,self,0,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,charge,Electric,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,chargebeam,Electric,Special,50,90,10,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,[object Object],,,,,,,
204,charm,Fairy,Status,0,100,20,normal,0,1,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,chatter,Flying,Special,65,100,20,any,0,1,1,,,,,,1,,,1,,1,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,100,,confusion,,,,,,,,,
886,chillingwater,Water,Special,50,100,20,normal,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,[object Object],,,,,,-1,,,,
881,chillyreception,Ice,Status,0,true,10,all,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498,chipaway,Normal,Physical,70,100,20,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,chloroblast,Grass,Special,150,95,5,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
509,circlethrow,Fighting,Physical,60,90,10,normal,-6,1,1,,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,clamp,Water,Physical,35,85,15,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
691,clangingscales,Dragon,Special,110,100,5,allAdjacentFoes,0,1,1,,1,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,clangoroussoul,Dragon,Status,0,100,5,self,0,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,clangoroussoulblaze,Dragon,Special,185,true,1,allAdjacentFoes,0,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499,clearsmog,Poison,Special,50,true,15,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,closecombat,Fighting,Physical,120,100,5,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,coaching,Fighting,Status,0,true,10,adjacentAlly,0,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
489,coil,Poison,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878,collisioncourse,Fighting,Physical,100,100,5,normal,0,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,combattorque,Fighting,Physical,100,100,10,normal,0,1,,,,,,,,,,,,,,1,1,1,1,1,1,,,1,,,1,,,,,,,,,,,,30,,,,,par,,,,,,
4,cometpunch,Normal,Physical,18,85,15,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
894,comeuppance,Dark,Physical,0,100,10,scripted,0,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
590,confide,Normal,Status,0,true,20,normal,0,,1,,1,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,confuseray,Ghost,Status,0,100,10,normal,0,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,confusion,Psychic,Special,50,100,25,normal,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,confusion,,,,,,,,,
132,constrict,Normal,Physical,10,100,35,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,[object Object],,,,,,,-1,,,
632,continentalcrush,Rock,Physical,1,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,conversion,Normal,Status,0,true,30,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,conversion2,Normal,Status,0,true,30,normal,0,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,copycat,Normal,Status,0,true,20,self,0,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
687,coreenforcer,Dragon,Special,100,100,10,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,corkscrewcrash,Steel,Physical,1,true,1,normal,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,corrosivegas,Poison,Status,0,100,40,allAdjacent,0,1,1,,1,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,cosmicpower,Psychic,Status,0,true,20,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,cottonguard,Grass,Status,0,true,10,self,0,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,cottonspore,Grass,Status,0,100,40,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
68,counter,Fighting,Physical,0,100,20,scripted,-5,1,,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
756,courtchange,Normal,Status,0,100,10,all,0,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,covet,Normal,Physical,60,100,25,normal,0,1,1,,,1,,,,,,,,,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
152,crabhammer,Water,Physical,100,90,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,craftyshield,Fairy,Status,0,true,10,allySide,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,crosschop,Fighting,Physical,100,80,5,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,crosspoison,Poison,Physical,70,100,20,normal,0,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,psn,,,,,,
242,crunch,Dark,Physical,80,100,15,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,20,[object Object],,,,,,,,-1,,
306,crushclaw,Normal,Physical,75,95,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,[object Object],,,,,,,,-1,,
462,crushgrip,Normal,Physical,0,100,5,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,curse,Ghost,Status,0,true,10,normal,0,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,cut,Normal,Physical,50,95,30,normal,0,1,1,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
663,darkestlariat,Dark,Physical,85,100,10,normal,0,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,darkpulse,Dark,Special,80,100,15,any,0,1,1,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,20,,flinch,,,,,,,,,
464,darkvoid,Dark,Status,0,50,10,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
605,dazzlinggleam,Fairy,Special,80,100,10,allAdjacentFoes,0,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,decorate,Fairy,Status,0,true,15,normal,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
