Pokemon,Move1,Move2,Move3,Move4,Move5,Move6,Move7,Move8,Move9,Move10,Move11,Move12,Move13,Move14,Move15,Move16,Move17,Move18,Move19,Move20,Move21,Move22,Move23,Move24,Move25,Move26,Move27,Move28,Move29,Move30,Move31,Move32,Move33,Move34,Move35,Move36,Move37,Move38,Move39,Move40,Move41,Move42,Move43,Move44,Move45,Move46,Move47,Move48,Move49,Move50,Move51,Move52,Move53,Move54,Move55,Move56,Move57,Move58,Move59,Move60,Move61,Move62,Move63,Move64,Move65,Move66,Move67,Move68,Move69,Move70,Move71,Move72,Move73,Move74,Move75,Move76,Move77,Move78,Move79,Move80,Move81,Move82,Move83,Move84,Move85,Move86,Move87,Move88,Move89,Move90,Move91,Move92,Move93,Move94,Move95,Move96,Move97,Move98,Move99,Move100,Move101,Move102,Move103,Move104,Move105,Move106,Move107,Move108,Move109,Move110,Move111,Move112,Move113,Move114,Move115,Move116,Move117,Move118,Move119,Move120,Move121,Move122,Move123,Move124,Move125,Move126,Move127,Move128,Move129,Move130,Move131,Move132,Move133,Move134,Move135,Move136,Move137,Move138,Move139,Move140,Move141,Move142,Move143,Move144,Move145,Move146,Move147,Move148,Move149,Move150,Move151,Move152,Move153,Move154,Move155,Move156,Move157,Move158,Move159,Move160,Move161,Move162,Move163,Move164,Move165,Move166,Move167,Move168,Move169,Move170,Move171,Move172,Move173,Move174,Move175,Move176,Move177,Move178,Move179,Move180,Move181,Move182,Move183,Move184,Move185,Move186,Move187,Move188,Move189,Move190,Move191,Move192,Move193,Move194,Move195,Move196,Move197,Move198,Move199,Move200,Move201,Move202,Move203,Move204,Move205,Move206,Move207,Move208,Move209,Move210,Move211,Move212,Move213,Move214,Move215,Move216,Move217,Move218,Move219,Move220,Move221,Move222,Move223,Move224,Move225,Move226,Move227,Move228,Move229,Move230,Move231,Move232,Move233,Move234,Move235,Move236,Move237,Move238,Move239,Move240,Move241,Move242,Move243,Move244,Move245,Move246,Move247,Move248,Move249,Move250,Move251,Move252,Move253,Move254,Move255,Move256,Move257,Move258
Metapod,Electroweb,Iron Defense,Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfree,Facade,Thief,Swagger,Venoshock,Hyper Beam,Energy Ball,Giga Drain,Psychic,Whirlwind,Safeguard,Giga Impact,Attract,Endure,U-turn,Substitute,Acrobatics,Rain Dance,Dream Eater,Flash,Iron Defense,Snore,Air Slash,Stun Spore,Supersonic,Double Team,Psych Up,Bug Buzz,Roost,Solar Beam,Aerial Ace,Skill Swap,Quiver Dance,Hurricane,Pollen Puff,String Shot,Gust,Tailwind,Shadow Ball,Bug Bite,Confusion,Sunny Day,Rest,Draining Kiss,Electroweb,Sleep Talk,Harden,Swift,Round,Protect,Baton Pass,Rage Powder,Dual Wingbeat,Sleep Powder,Defog,Poison Powder,Tackle,Psybeam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weedle,Bug Bite,Poison Sting,String Shot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakuna,Harden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedrill,Facade,Thief,Venoshock,Swagger,Hyper Beam,Payback,Giga Drain,Giga Impact,U-turn,Endure,Substitute,Flash,Peck,Drill Run,Poison Jab,Sludge Bomb,Focus Energy,Laser Focus,Rage,Agility,Mega Drain,Fury Attack,Double Team,Roost,Toxic Spikes,Solar Beam,Aerial Ace,String Shot,Reflect,Pin Missile,Bug Bite,Rock Smash,Sunny Day,Swords Dance,Rest,Outrage,X-Scissor,Fury Cutter,Toxic,Sleep Talk,Harden,Cut,Brick Break,Protect,Poison Sting,Assurance,Fell Stinger,Twineedle,Defog,False Swipe,Attract,Headbutt,Endeavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgey,Facade,Thief,Swagger,U-turn,Whirlwind,Quick Attack,Endure,Substitute,Work Up,Uproar,Twister,Rain Dance,Wing Attack,Fly,Agility,Air Slash,Air Cutter,Double Team,Sand Attack,Roost,Aerial Ace,Hurricane,Reflect,Feather Dance,Gust,Tailwind,Mirror Move,Sunny Day,Rest,Toxic,Razor Wind,Sleep Talk,Protect,Pluck,Brave Bird,Steel Wing,Defog,Attract,Headbutt,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeotto,Facade,Thief,Swagger,U-turn,Whirlwind,Quick Attack,Endure,Substitute,Work Up,Uproar,Twister,Rain Dance,Wing Attack,Fly,Agility,Air Slash,Air Cutter,Double Team,Sand Attack,Roost,Aerial Ace,Hurricane,Reflect,Feather Dance,Gust,Tailwind,Mirror Move,Sunny Day,Rest,Toxic,Razor Wind,Sleep Talk,Protect,Pluck,Brave Bird,Steel Wing,Defog,Attract,Headbutt,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeot,Sky Attack,Facade,Thief,Swagger,Hyper Beam,Giga Impact,U-turn,Whirlwind,Quick Attack,Endure,Substitute,Work Up,Uproar,Twister,Rain Dance,Wing Attack,Fly,Agility,Air Slash,Air Cutter,Double Team,Sand Attack,Roost,Aerial Ace,Hurricane,Reflect,Feather Dance,Gust,Tailwind,Heat Wave,Mirror Move,Sunny Day,Rest,Toxic,Razor Wind,Sleep Talk,Protect,Pluck,Brave Bird,Steel Wing,Defog,Attract,Headbutt,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata,Hyper Fang,Facade,Thief,Counter,Swagger,U-turn,Quick Attack,Dark Pulse,Super Fang,Endure,Substitute,Screech,Work Up,Uproar,Rain Dance,Iron Tail,Thunder,Grass Knot,Sludge Bomb,Focus Energy,Laser Focus,Flame Wheel,Reversal,Double Team,Crunch,Shadow Ball,Double-Edge,Sucker Punch,Shock Wave,Thunder Wave,Rock Smash,Tail Whip,Revenge,Sunny Day,Dig,Blizzard,Thunderbolt,Last Resort,Rest,Tackle,Take Down,Toxic,Final Gambit,Sleep Talk,Cut,Protect,Assurance,Taunt,Charge Beam,Pluck,Ice Beam,Attract,Headbutt,Fury Swipes,Endeavor,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raticate,Roar,Facade,Thief,Counter,Swagger,Hyper Fang,Hyper Beam,Giga Impact,U-turn,Quick Attack,Dark Pulse,Super Fang,Endure,Substitute,Screech,Work Up,Uproar,Rain Dance,Iron Tail,Thunder,Grass Knot,Sludge Bomb,Focus Energy,Laser Focus,Flame Wheel,Reversal,Double Team,Crunch,Strength,Shadow Ball,Double-Edge,Sucker Punch,Shock Wave,Thunder Wave,Rock Smash,Tail Whip,Revenge,Swords Dance,Sunny Day,Dig,Blizzard,Thunderbolt,Last Resort,Rest,Tackle,Take Down,Toxic,Final Gambit,Sleep Talk,Cut,Bulk Up,Protect,Assurance,Taunt,Charge Beam,Pluck,Scary Face,Ice Beam,Attract,Headbutt,Fury Swipes,Endeavor,Bite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearow,Sky Attack,Facade,Thief,Swagger,U-turn,Whirlwind,Quick Attack,Endure,Substitute,Work Up,Uproar,Rain Dance,Wing Attack,Drill Peck,Peck,Fly,Focus Energy,Agility,Fury Attack,Double Team,Tri Attack,Roost,Aerial Ace,Feather Dance,Mirror Move,Astonish,Sunny Day,Rest,Leer,Take Down,Toxic,Sleep Talk,Protect,Growl,Assurance,Pluck,Scary Face,Steel Wing,False Swipe,Defog,Attract,Headbutt,Drill Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearow,Sky Attack,Facade,Thief,Swagger,Hyper Beam,Giga Impact,U-turn,Whirlwind,Quick Attack,Endure,Substitute,Work Up,Uproar,Rain Dance,Wing Attack,Drill Peck,Peck,Fly,Focus Energy,Agility,Fury Attack,Double Team,Tri Attack,Roost,Aerial Ace,Feather Dance,Mirror Move,Astonish,Sunny Day,Rest,Leer,Take Down,Toxic,Sleep Talk,Protect,Growl,Assurance,Pluck,Scary Face,Steel Wing,False Swipe,Defog,Attract,Headbutt,Drill Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
